person_id,category,criticality,file_id,segment,num_per_cls_car,num_per_cls_bicycle,num_per_cls_person,max_total_objects_all,avg_total_classes_ratio,max_most_central_detection_size,std_x,std_y,total_velocity,max_velocity,total_acceleration,max_acceleration,fixation_duration,saccades,most_common_arduino,most_frequent_class,avg_duration_near_object,avg_distance_to_closest_object
01,bike,crit,01,0000-0149,1900.0,180.0,287.0,25.0,0.2432293224473934,14321.37093826756,36.61920144246625,184.21094974319303,2530.173167161229,406.2533341917948,-1.2307203424875297,292.4694798667109,14.0,13.0,50.0,person,58.0,117.25713022015591
01,bike,crit,01,0030-0179,1784.0,177.0,300.0,25.0,0.259027988292499,17465.79638276063,38.64240000326696,185.04907174236783,2940.4720483513083,406.2533341917948,-3.357167422084384,304.21151265501555,13.0,13.0,35.0,person,58.25,158.30371427607625
01,bike,crit,01,0060-0209,1691.0,189.0,276.0,23.0,0.2730724943333639,20183.375115875155,38.3836741525808,225.65287298466276,3383.871227053969,406.2533341917948,-310.8687904179979,304.21151265501555,17.0,14.0,35.0,person,59.0,200.50064298459844
01,bike,crit,01,0090-0239,1670.0,210.0,305.0,23.0,0.2712626189711934,26353.85637650639,41.70432142745224,156.95065056583184,2577.9578185828086,408.99089356660267,1.3946956616436808,403.5905912319065,15.0,10.0,35.0,person,58.75,97.29057139682916
01,bike,crit,01,0120-0269,1716.0,215.0,324.0,23.0,0.2670794951024457,26353.85637650639,79.01196618696784,154.14953174930457,2673.5140680734103,408.99089356660267,-7.323974934708895,403.5905912319065,16.0,10.0,35.0,person,48.8,106.8179508821312
01,bike,crit,01,0150-0299,1756.0,215.0,319.0,23.0,0.2648262113777997,26353.85637650639,82.15291442085102,153.07837521583804,2726.895879383456,408.99089356660267,8.42413010181896,403.5905912319065,16.0,10.0,55.0,car,44.8,136.04105371486244
01,bike,crit,01,0180-0329,1814.0,217.0,302.0,23.0,0.2584021626309955,43975.31414269653,78.524445056949,149.75997334328457,2369.741929101973,408.99089356660267,-2.1801591245914853,403.5905912319065,17.0,10.0,55.0,car,47.8,147.41890164612298
01,bike,crit,01,0210-0359,1798.0,212.0,305.0,23.0,0.2550130920925442,89460.05285574496,101.08869477413946,28.844121870025774,1558.108778171812,200.10125554742365,-193.207010683416,59.5736365842173,14.0,7.0,100.0,car,52.4,1.852939675820364
01,bike,crit,01,0240-0389,1797.0,231.0,272.0,24.0,0.2610821367041248,91209.75818910822,130.9047284746893,32.84465253062481,1930.9688583376603,305.53025168365485,-94.0347167035539,227.8781808528753,11.0,9.0,100.0,car,60.5,6.754901413690479
01,bike,crit,01,0270-0419,1760.0,275.0,271.0,25.0,0.2641680631020515,91209.75818910822,114.32697416137252,33.91414976292329,1833.8385704692864,305.53025168365485,1.790340348600687,227.8781808528753,10.0,9.0,100.0,car,44.0,9.049014291983829
01,bike,crit,01,0300-0449,1695.0,329.0,315.0,25.0,0.2667638057816211,91209.75818910822,111.67247835970242,30.961744312364907,1723.48744421805,305.53025168365485,5.1105239218212,227.8781808528753,8.0,8.0,100.0,car,50.8,9.049014291983829
01,bike,crit,01,0330-0479,1630.0,356.0,327.0,25.0,0.2776567905058751,91209.75818910822,104.24719538008311,28.961110135178156,1438.5394956459977,305.53025168365485,-0.37688876264854,227.8781808528753,6.0,5.0,100.0,person,63.5,8.89270441221279
01,bike,crit,01,0360-0509,1658.0,376.0,291.0,25.0,0.2838451573505887,91209.75818910822,95.80329319969204,30.162992420409044,1629.552120787244,305.53025168365485,79.99792887245867,227.8781808528753,7.0,8.0,15.0,person,58.5,8.294682247089057
01,bike,crit,01,0390-0539,1557.0,366.0,258.0,25.0,0.2949402218098677,83236.83369771393,68.85424590241297,20.664929724647703,1073.591553195215,107.0426330180953,-4.470870359398646,104.06120904809556,12.0,5.0,15.0,person,58.0,11.312121574408591
01,bike,crit,01,0420-0569,1405.0,381.0,273.0,24.0,0.301446078875881,83236.83369771393,86.91672176858951,20.281034731695197,1114.003225507264,115.7808572955812,-3.0946998565545147,104.06120904809556,17.0,5.0,15.0,person,57.5,21.51577277288389
01,bike,crit,01,0450-0599,1324.0,445.0,258.0,21.0,0.2982149528031881,101129.34369663708,90.12924735080117,20.985117776366835,1432.5694928142746,115.7808572955812,-3.33642825320317,104.06120904809556,17.0,8.0,5.0,person,53.75,20.888387685700884
01,bike,crit,01,0480-0629,1221.0,580.0,260.0,21.0,0.2946976338648165,104522.3560741134,103.6729877476232,24.19650577784333,1994.6663259646384,177.51999714892713,175.84789716168157,148.50849427364705,16.0,11.0,5.0,person,53.0,21.646062705014103
01,bike,crit,01,0510-0659,1029.0,779.0,313.0,25.0,0.2910949606522361,104522.3560741134,152.64530053248035,44.69058211310224,2105.9285102440367,177.51999714892713,0.3327023140868332,148.50849427364705,17.0,12.0,5.0,person,52.25,26.62275080685401
01,bike,crit,02,0000-0149,980.0,23.0,420.0,21.0,0.3069814020975011,8817.72203983739,70.36829138600247,25.52474062816032,1127.1226497216717,127.74088888792627,2.0199240902701474,124.65767046756348,14.0,4.0,50.0,car,37.75,28.078166368235003
01,bike,crit,02,0030-0179,911.0,19.0,468.0,21.0,0.3280030459163585,14843.06232444942,60.10585489046706,22.059120124112788,1082.8256607937428,127.74088888792627,1.6905226597549636,124.65767046756348,15.0,3.0,40.0,car,21.571428571428573,30.275094059514483
01,bike,crit,02,0060-0209,860.0,39.0,524.0,21.0,0.3481950521671883,24148.699933752418,54.03505394929853,25.42637343610706,1019.5285204144216,101.74397640496396,-5.178482586514862,56.05049775724336,13.0,1.0,40.0,car,22.0,30.553559249074997
