person_id,category,criticality,file_id,segment,num_per_cls_0,num_per_cls_1,num_per_cls_2,max_total_objects_all,avg_total_classes_ratio,max_most_central_detection_size,std_x,std_y,total_velocity,max_velocity,total_acceleration,max_acceleration,fixation_duration,saccades,most_common_arduino,most_frequent_class,avg_duration_near_object,avg_distance_to_closest_object
22,bike,uncrit,04,1440-1739,22.0,0.0,2089.0,14.0,0.2156896344396344,4236.350925996846,173.75226809655925,133.9577717026759,4331.604708639302,221.84215108946267,-1.3280674736561595,145.5531884489139,96.0,26.0,46.25,2.0,150.0,43.43627270533798
22,bike,uncrit,04,1500-1799,52.0,0.0,2229.0,14.0,0.2037760387760387,3572.7582383512536,178.44402374963383,126.66711785733484,4013.601257201644,213.08038389302757,-1.2135943621179166,132.52519232296868,94.0,24.0,46.25,2.0,150.0,60.31306922319678
22,bike,uncrit,04,1560-1859,94.0,0.0,2378.0,14.0,0.1867524605024604,2054.2711771316926,162.592052918939,105.22986475823792,3637.693152284638,236.73854776947496,6.017296455169696,132.52519232296868,105.0,20.0,46.25,2.0,150.0,45.97830958229715
22,bike,uncrit,04,1620-1919,109.0,0.0,2466.0,14.0,0.1782622007622007,1862.54958426672,148.72255970180237,113.64345484382068,3583.5149357522178,236.73854776947496,1.2019164694751083,132.52519232296868,108.0,21.0,46.25,2.0,150.5,55.5052092220534
22,bike,uncrit,04,1680-1979,108.0,0.0,2562.0,14.0,0.1678760776260776,3067.312693428946,150.84361462733352,112.42300297745624,4052.043430241746,236.73854776947496,-19.977632825527657,142.89840599877525,100.0,24.0,46.25,2.0,301.0,57.12543790212555
22,bike,uncrit,04,1740-2039,94.0,0.0,2461.0,13.0,0.1615268712768713,4630.499016952999,148.705736505828,117.82634225811276,3816.050029987541,236.73854776947496,0.7499999999999232,142.89840599877525,83.0,22.0,45.0,2.0,301.0,59.32549147866066
23,bike,uncrit,01,0300-0599,280.0,147.0,1333.0,12.0,0.4586784511784511,2277.67064226342,33.118786228856095,28.022825723042903,798.1131958428907,62.05248674397421,-1.2783688411941403,55.219801250224144,132.0,2.0,30.303030303030305,2.0,164.0,7.822767310583893
23,bike,uncrit,01,0360-0659,324.0,94.0,1279.0,12.0,0.4327425444925444,2277.67064226342,101.03110853166297,28.833347554425423,1606.6156267323297,223.0715412149205,-1.501542681017678,115.8110522173404,126.0,8.0,30.303030303030305,2.0,109.0,23.920590733450688
23,bike,uncrit,01,0420-0719,323.0,34.0,1211.0,10.0,0.4259391534391534,1724.9944831583978,102.74644790897926,21.695860842098547,1646.337740463528,223.0715412149205,0.8000000000000131,115.8110522173404,116.0,7.0,30.303030303030305,2.0,101.33333333333331,21.49785148732378
23,bike,uncrit,01,0480-0779,388.0,19.0,1225.0,11.0,0.3974011544011543,1676.191629747248,101.72786241894435,11.541927444359418,1448.6785550264722,223.0715412149205,4.524937810560448,115.8110522173404,123.0,6.0,30.303030303030305,2.0,150.0,20.16960684070345
23,bike,uncrit,01,0540-0839,502.0,66.0,1176.0,12.0,0.3981114718614718,2232.1830174657644,101.37179101328842,12.57360520135945,1621.9867356602044,223.0715412149205,0.5527864045000435,115.8110522173404,108.0,6.0,30.303030303030305,2.0,151.5,21.163057074469684
23,bike,uncrit,01,0600-0899,420.0,77.0,1102.0,12.0,0.4052305194805195,3034.2468207047923,100.81176990242038,12.486530396813995,1557.854045714805,223.0715412149205,16.468225121313473,115.8110522173404,116.0,6.0,30.303030303030305,2.0,151.5,21.871350299073796
23,bike,uncrit,01,0660-0959,340.0,121.0,1043.0,12.0,0.4269448051948052,7830.530568681589,60.02147823761389,16.930995935698924,1091.7523820706597,68.38303883273984,0.1661903789690786,53.88088382046666,118.0,4.0,25.252525252525253,2.0,101.66666666666669,16.251599184265423
23,bike,uncrit,01,0720-1019,279.0,327.0,1035.0,12.0,0.403796657046657,7830.530568681589,71.10897389277483,15.889588152736378,1092.731228298096,68.38303883273984,4.4666977610857455,53.88088382046666,124.0,4.0,25.252525252525253,2.0,101.33333333333331,25.139956320040017
23,bike,uncrit,01,0780-1079,186.0,421.0,1098.0,12.0,0.3901917989417989,7830.530568681589,71.06015687636223,26.81817511237528,1193.269377353994,68.38303883273984,-33.16149377760827,53.88088382046666,111.0,4.0,25.252525252525253,2.0,101.33333333333331,34.32088737369946
23,bike,uncrit,01,0840-1139,27.0,374.0,1159.0,10.0,0.3551084656084655,7830.530568681589,70.89692765287707,26.813487123254443,1123.59100912236,68.38303883273984,-0.200000000000049,53.88088382046666,115.0,4.0,25.252525252525253,2.0,100.66666666666669,33.42979372287286
23,bike,uncrit,01,0900-1199,19.0,359.0,1237.0,10.0,0.3246957671957671,7830.530568681589,78.89859936204958,26.460718926996957,1438.9730961707496,90.9510323073784,-19.014369579591715,65.07995772590809,105.0,6.0,25.252525252525253,2.0,102.66666666666669,32.95090879193887
23,bike,uncrit,01,0960-1259,0.0,305.0,1342.0,10.0,0.2737592592592592,2882.422768812793,65.29660384743804,22.28277249178324,1076.6843171370815,90.9510323073784,-0.4109272075633257,65.07995772590809,117.0,2.0,25.252525252525253,2.0,307.0,24.88409760225037
23,bike,uncrit,01,1020-1319,2.0,97.0,1425.0,10.0,0.246589947089947,1551.7267824864066,55.07283068966802,21.961997827638356,935.9219411011696,90.9510323073784,-1.6668257274488063,65.07995772590809,132.0,2.0,25.252525252525253,2.0,307.0,17.153196147336573
23,bike,uncrit,01,1080-1379,2.0,39.0,1327.0,7.0,0.2593650793650793,1551.7267824864066,52.25681738075362,8.064293797393562,879.6666148255388,90.9510323073784,-1.612451549659721,65.07995772590809,134.0,2.0,26.262626262626267,2.0,307.0,10.026605155696172
23,bike,uncrit,01,1140-1439,4.0,39.0,1234.0,7.0,0.2720873015873016,2678.793370659902,50.354058299888,7.304880268075212,998.6649461298202,90.9510323073784,63.10952238030152,65.07995772590809,136.0,4.0,40.4040404040404,2.0,315.0,10.445742032338496
23,bike,uncrit,01,1200-1499,13.0,73.0,1123.0,7.0,0.3178015873015872,5435.906999601396,67.15836065038302,10.30834991890455,1042.1852884586283,102.54389304098028,0.6847416489820637,81.4582079227496,132.0,4.0,40.4040404040404,2.0,103.33333333333331,22.121925538288536
